parameters:
P = 0.900000	Q = 0.100000	D_A = 0.090000	error rate = 0.010000	average coverage per site = 3	sample size = 100	# of iterations = 10000

iteration	sample P	sample Q	sample error rate	sample p	sample D_A	best_major_allele_freq	best_D_A	best_f	estimated P	estimated Q	best_error	HWE_maxll	null_maxll	maxll	pol_llstat	HWE_llstat
36	0.910000	0.090000	0.003534	0.910000	0.081900	0.920000	0.073600	1.000000	0.920000	0.080000	0.005300	-48.452280	-115.402328	-35.274681	160.255293	26.355198
37	0.920000	0.080000	0.010101	0.920000	0.073600	0.910000	0.081900	1.000000	0.910000	0.090000	0.010101	-59.107186	-120.139453	-46.775145	146.728615	24.664082
38	0.870000	0.130000	0.019608	0.870000	0.113100	0.860000	0.120400	1.000000	0.860000	0.140000	0.019608	-93.726350	-196.597303	-73.884200	245.426206	39.684300
39	0.900000	0.100000	0.007326	0.900000	0.090000	0.890000	0.097900	1.000000	0.890000	0.110000	0.005495	-56.245533	-151.902197	-39.396055	225.012285	33.698957
40	0.910000	0.090000	0.010526	0.910000	0.081900	0.940000	0.056400	1.000000	0.940000	0.060000	0.010526	-47.530492	-71.218985	-42.030779	58.376412	10.999426
41	0.920000	0.080000	0.006536	0.920000	0.073600	0.920000	0.073600	1.000000	0.920000	0.080000	0.004902	-55.227417	-140.900697	-41.664523	198.472348	27.125787
42	0.850000	0.150000	0.017544	0.850000	0.127500	0.855000	0.118975	0.959669	0.850000	0.140000	0.015789	-82.761886	-150.673779	-70.234152	160.879254	25.055467
43	0.880000	0.120000	0.012903	0.880000	0.105600	0.870000	0.113100	1.000000	0.870000	0.130000	0.019355	-83.748043	-191.889652	-61.629822	260.519661	44.236442
44	0.870000	0.130000	0.003546	0.870000	0.113100	0.860000	0.120400	1.000000	0.860000	0.140000	0.005319	-65.714271	-181.388394	-45.432801	271.911188	40.562941
45	0.870000	0.130000	0.003401	0.870000	0.113100	0.870000	0.113100	1.000000	0.870000	0.130000	0.005102	-63.536090	-145.768232	-46.057550	199.421364	34.957082
46	0.950000	0.050000	0.003367	0.950000	0.047500	0.950000	0.047500	1.000000	0.950000	0.050000	0.005051	-35.148244	-71.810743	-27.376320	88.868846	15.543848
47	0.870000	0.130000	0.012422	0.870000	0.113100	0.870000	0.113100	1.000000	0.870000	0.130000	0.018634	-86.603198	-188.324238	-64.472766	247.702943	44.260863
48	0.900000	0.100000	0.006390	0.900000	0.090000	0.900000	0.090000	1.000000	0.900000	0.100000	0.004792	-62.188665	-148.097177	-46.457317	203.279720	31.462697
49	0.860000	0.140000	0.003559	0.860000	0.120400	0.860000	0.120400	1.000000	0.860000	0.140000	0.005338	-63.688481	-156.021707	-45.117470	221.808475	37.142022
50	0.910000	0.090000	0.003584	0.910000	0.081900	0.910000	0.081900	1.000000	0.910000	0.090000	0.005376	-48.205856	-93.947219	-37.530494	112.833450	21.350724
51	0.930000	0.070000	0.013115	0.930000	0.065100	0.930000	0.065100	1.000000	0.930000	0.070000	0.014754	-61.606888	-127.672630	-50.601523	154.142214	22.010729
52	0.940000	0.060000	0.005882	0.940000	0.056400	0.940000	0.056400	1.000000	0.940000	0.060000	0.004412	-47.297413	-105.675707	-36.924740	137.501933	20.745347
53	0.940000	0.060000	0.006757	0.940000	0.056400	0.950000	0.047500	1.000000	0.950000	0.050000	0.005068	-38.389078	-67.622545	-33.605344	68.034400	9.567468
54	0.870000	0.130000	0.010000	0.870000	0.113100	0.880000	0.105600	1.000000	0.880000	0.120000	0.015000	-72.836530	-146.520586	-56.537558	179.966057	32.597944
55	0.880000	0.120000	0.003333	0.880000	0.105600	0.880000	0.105600	1.000000	0.880000	0.120000	0.005000	-58.548420	-137.002276	-41.929125	190.146302	33.238589
56	0.900000	0.100000	0.006667	0.900000	0.090000	0.900000	0.090000	1.000000	0.900000	0.100000	0.010000	-60.095021	-137.002276	-44.046899	185.910753	32.096243
57	0.900000	0.100000	0.019293	0.900000	0.090000	0.900000	0.090000	1.000000	0.900000	0.100000	0.019293	-77.610588	-151.006904	-65.831750	170.350308	23.557675
58	0.890000	0.110000	0.010381	0.890000	0.097900	0.900000	0.090000	1.000000	0.900000	0.100000	0.010381	-63.673338	-112.540161	-51.867171	121.345980	23.612333
59	0.880000	0.120000	0.006369	0.880000	0.105600	0.880000	0.105600	1.000000	0.880000	0.120000	0.004777	-65.418793	-138.543648	-50.800656	175.485984	29.236273
60	0.890000	0.110000	0.012698	0.890000	0.097900	0.885000	0.086775	0.852616	0.870000	0.100000	0.004762	-66.057495	-125.248403	-57.820948	134.854911	16.473095
61	0.940000	0.060000	0.016556	0.940000	0.056400	0.930000	0.065100	1.000000	0.930000	0.070000	0.014901	-59.630279	-102.974407	-50.423017	105.102779	18.414523
62	0.950000	0.050000	0.009063	0.950000	0.047500	0.950000	0.047500	1.000000	0.950000	0.050000	0.013595	-47.711067	-77.545074	-40.239183	74.611782	14.943767
63	0.850000	0.150000	0.013158	0.850000	0.127500	0.830000	0.141100	1.000000	0.830000	0.170000	0.014803	-85.442581	-190.822982	-63.405256	254.835451	44.074651
64	0.890000	0.110000	0.006645	0.890000	0.097900	0.900000	0.090000	1.000000	0.900000	0.100000	0.009967	-61.366596	-146.644420	-44.052403	205.184033	34.628385
